Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Quantidade de vitimas fatais;Tipo de registro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-09-26 00:00:00;26;9;2021;2021/09;-22,21350861;-49,95339498;RUA QUINZE DE NOVEMBRO;1183;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-03-29 00:00:00;29;3;2019;2019/03;-22,25084143;-49,91803755;RUA KINTARO MITSUKA;1017;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-02-10 00:00:00;10;2;2019;2019/02;-22,23021291;-49,91536589;RODOVIA SP 294;445;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-27 00:00:00;27;1;2021;2021/01;-22,24989655;-49,9313794;RUA JOAO BATISTA MARINHO;712;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-04-14 00:00:00;14;4;2020;2020/04;-22,19156618;-49,96692106;RODOVIA SP 294;457;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-08-04 00:00:00;4;8;2022;2022/08;-22,21887295;-49,94927876;RUA QUATRO DE ABRIL;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-04-19 00:00:00;19;4;2023;2023/04;-22,23406046;-49,9128664;RUA NIVALDO SEVERO BARBOSA;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-10-10 00:00:00;10;10;2019;2019/10;-22,24597775;-49,93696079;AVENIDA TOME DE SOUZA;758;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-03 00:00:00;3;7;2021;2021/07;-22,16748716;-49,96968366;AVENIDA JOAO MARTINS COELHO;800;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-01-07 00:00:00;7;1;2020;2020/01;-22,2244749;-49,9154228;R PAULA FABIANO TUDELA;104;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-04-29 00:00:00;29;4;2019;2019/04;-22,20667918;-49,9624319;RUA BASSAN X RUA ISSAMU MIURA;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-19 00:00:00;19;1;2021;2021/01;-22,22810173;-49,969627;AVENIDA ERMELINDA CLARICE SANCHES CASARINI;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-07-06 00:00:00;6;7;2022;2022/07;-22,21686281;-49,94637482;ALCIDES MANUEL DIAS;30;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-02-07 00:00:00;7;2;2024;2024/02;-22,2021772;-49,9642703;SP294;454;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-04-07 00:00:00;7;4;2021;2021/04;-22,21671768;-49,93677408;RUA TOMAS GONZAGA;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-02-25 00:00:00;25;2;2023;2023/02;-22,25002491;-49,93395501;AVENIDA JOAO RAMALHO;2575;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-07-20 00:00:00;20;7;2021;2021/07;-22,21715557;-49,94657744;AVENIDA IPIRANGA;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-03-11 00:00:00;11;3;2024;2024/03;-22,2021772;-49,9642703;SP294;457;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-08-09 00:00:00;9;8;2023;2023/08;-22,21771712;-49,94189344;AVENIDA REPUBLICA;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-07-07 00:00:00;7;7;2024;2024/07;-22,22271484;-49,94946984;RUA XV DE NOVEMBRO X RUA SETE DE SETEMBRO;10;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-09-06 00:00:00;6;9;2021;2021/09;-22,21683399;-49,9480094;AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES;100;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2022-04-06 00:00:00;6;4;2022;2022/04;-22,21646952;-49,96506357;RODOVIA SP 294;454;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-03-28 00:00:00;28;3;2019;2019/03;-22,23171131;-49,97050394;AVENIDA MARIA FERNANDES CAVALARE;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-08-12 00:00:00;12;8;2023;2023/08;-22,23168616;-49,93508511;RUA ALCIDES NUNES;165;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-12-20 00:00:00;20;12;2021;2021/12;-22,20987595;-49,95118609;AVENIDA NELSOM SPIELMAN;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-05-21 00:00:00;21;5;2020;2020/05;-22,19705086;-49,95597353;RUA VINTE E CINCO DE JANEIRO X RUA AMERICA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-11-25 00:00:00;25;11;2020;2020/11;-22,23634103;-49,91922801;BR 153;256;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-01 00:00:00;1;2;2020;2020/02;-22,1890602;-49,9281876;AVENIDA BRIGADEIRO EDUARDO GOMES;2721;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019-08-24 00:00:00;24;8;2019;2019/08;-22,20993887;-49,95687004;AVENIDA SANTO ANTONIO;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-11-29 00:00:00;29;11;2021;2021/11;-22,21153164;-49,95185628;AVENIDA SAMPAIO VIDAL;384;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
