;id_sinistro;Data do Sinistro;Dia do Sinistro;Mes do Sinistro;Ano do Sinistro;Ano/Mes do Sinistro;latitude;longitude;Hora do Sinistro;Municipio;Regiao Administrativa;Logradouro;Numero/KM;Pedestre envolvido;Automovel envolvido;Bicicleta envolvida;Caminhao envolvido;Motocicleta envolvida;Onibus envolvido;Outros veiculos envolvidos;Veiculo envolvido nao disponivel;Atropelamento;Capotamento;Choque;Colisao frontal;Colisao lateral;Colisao transversal;Colisao traseira;Outras colisoes;Engavetamento;Tombamento;Outros sinistros;Tipo de registro
3086;PM-15756-6-2021-9-26;2021-09-26 00:00:00;26;9;2021;2021/09;-22,21350861;-49,95339498;13:40:00;MARILIA;Marilia;RUA QUINZE DE NOVEMBRO;1183;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
3196;PM-7066-6-2019-3-29;2019-03-29 00:00:00;29;3;2019;2019/03;-22,25084143;-49,91803755;11:10:00;MARILIA;Marilia;RUA KINTARO MITSUKA;1017;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
3428;PM-8525-6-2019-2-10;2019-02-10 00:00:00;10;2;2019;2019/02;-22,23021291;-49,91536589;06:57:00;MARILIA;Marilia;RODOVIA SP 294;445;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
3489;PM-13422-6-2021-1-27;2021-01-27 00:00:00;27;1;2021;2021/01;-22,24989655;-49,9313794;19:48:00;MARILIA;Marilia;RUA JOAO BATISTA MARINHO;712;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
3544;PM-10051-6-2020-4-14;2020-04-14 00:00:00;14;4;2020;2020/04;-22,19156618;-49,96692106;17:24:00;MARILIA;Marilia;RODOVIA SP 294;457;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
3590;PM-7951-6-2022-8-4;2022-08-04 00:00:00;4;8;2022;2022/08;-22,21887295;-49,94927876;12:09:00;MARILIA;Marilia;RUA QUATRO DE ABRIL;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
3669;PM-3493-6-2023-4-19;2023-04-19 00:00:00;19;4;2023;2023/04;-22,23406046;-49,9128664;07:53:54;MARILIA;Marilia;RUA NIVALDO SEVERO BARBOSA;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
3733;PM-10050-6-2019-10-10;2019-10-10 00:00:00;10;10;2019;2019/10;-22,24597775;-49,93696079;15:18:00;MARILIA;Marilia;AVENIDA TOME DE SOUZA;758;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
3736;PM-17493-6-2021-7-3;2021-07-03 00:00:00;3;7;2021;2021/07;-22,16748716;-49,96968366;18:14:00;MARILIA;Marilia;AVENIDA JOAO MARTINS COELHO;800;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
3766;PM-3653-6-2020-1-7;2020-01-07 00:00:00;7;1;2020;2020/01;-22,2244749;-49,9154228;08:16:00;MARILIA;Marilia;R PAULA FABIANO TUDELA;104;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
4078;PM-17291-6-2019-4-29;2019-04-29 00:00:00;29;4;2019;2019/04;-22,20667918;-49,9624319;22:23:00;MARILIA;Marilia;RUA BASSAN X RUA ISSAMU MIURA;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
4096;PM-4811-6-2021-1-19;2021-01-19 00:00:00;19;1;2021;2021/01;-22,22810173;-49,969627;10:35:00;MARILIA;Marilia;AVENIDA ERMELINDA CLARICE SANCHES CASARINI;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
4151;PM-12094-6-2022-7-6;2022-07-06 00:00:00;6;7;2022;2022/07;-22,21686281;-49,94637482;15:50:00;MARILIA;Marilia;ALCIDES MANUEL DIAS;30;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
4227;PM-4424-6-2024-2-7;2024-02-07 00:00:00;7;2;2024;2024/02;-22,2021772;-49,9642703;07:20:00;MARILIA;Marilia;SP294;454;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
4267;PM-9045-6-2021-4-7;2021-04-07 00:00:00;7;4;2021;2021/04;-22,21671768;-49,93677408;16:12:00;MARILIA;Marilia;RUA TOMAS GONZAGA;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
4290;PM-14466-6-2023-2-25;2023-02-25 00:00:00;25;2;2023;2023/02;-22,25002491;-49,93395501;16:09:00;MARILIA;Marilia;AVENIDA JOAO RAMALHO;2575;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
4375;PM-9903-6-2021-7-20;2021-07-20 00:00:00;20;7;2021;2021/07;-22,21715557;-49,94657744;17:10:00;MARILIA;Marilia;AVENIDA IPIRANGA;10;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
4535;PM-21586-6-2024-3-11;2024-03-11 00:00:00;11;3;2024;2024/03;-22,2021772;-49,9642703;22:26:00;MARILIA;Marilia;SP294;457;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
4537;PM-4431-6-2023-8-9;2023-08-09 00:00:00;9;8;2023;2023/08;-22,21771712;-49,94189344;08:44:00;MARILIA;Marilia;AVENIDA REPUBLICA;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
4596;PM-15888-6-2024-7-7;2024-07-07 00:00:00;7;7;2024;2024/07;-22,22271484;-49,94946984;13:15:00;MARILIA;Marilia;RUA XV DE NOVEMBRO X RUA SETE DE SETEMBRO;10;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
4912;PM-5861-6-2021-9-6;2021-09-06 00:00:00;6;9;2021;2021/09;-22,21683399;-49,9480094;07:27:00;MARILIA;Marilia;AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES;100;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5093;PM-7884-6-2022-4-6;2022-04-06 00:00:00;6;4;2022;2022/04;-22,21646952;-49,96506357;13:39:00;MARILIA;Marilia;RODOVIA SP 294;454;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5266;PM-17745-6-2019-3-28;2019-03-28 00:00:00;28;3;2019;2019/03;-22,23171131;-49,97050394;21:59:00;MARILIA;Marilia;AVENIDA MARIA FERNANDES CAVALARE;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5315;PM-7650-6-2023-8-12;2023-08-12 00:00:00;12;8;2023;2023/08;-22,23168616;-49,93508511;08:38:00;MARILIA;Marilia;RUA ALCIDES NUNES;165;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5333;PM-6799-6-2021-12-20;2021-12-20 00:00:00;20;12;2021;2021/12;-22,20987595;-49,95118609;10:42:00;MARILIA;Marilia;AVENIDA NELSOM SPIELMAN;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5350;PM-7693-6-2020-5-21;2020-05-21 00:00:00;21;5;2020;2020/05;-22,19705086;-49,95597353;12:29:00;MARILIA;Marilia;RUA VINTE E CINCO DE JANEIRO X RUA AMERICA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;SINISTRO NAO FATAL
5385;PM-323639-99-2020-11-25;2020-11-25 00:00:00;25;11;2020;2020/11;-22,23634103;-49,91922801;07:38:00;MARILIA;Marilia;BR 153;256;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
5461;PM-19775-6-2020-2-1;2020-02-01 00:00:00;1;2;2020;2020/02;-22,1890602;-49,9281876;21:02:00;MARILIA;Marilia;AVENIDA BRIGADEIRO EDUARDO GOMES;2721;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5484;PM-11411-6-2019-8-24;2019-08-24 00:00:00;24;8;2019;2019/08;-22,20993887;-49,95687004;13:40:00;MARILIA;Marilia;AVENIDA SANTO ANTONIO;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
5657;PM-7268-6-2021-11-29;2021-11-29 00:00:00;29;11;2021;2021/11;-22,21153164;-49,95185628;11:08:00;MARILIA;Marilia;AVENIDA SAMPAIO VIDAL;384;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
5753;PM-7253-6-2023-3-1;2023-03-01 00:00:00;1;3;2023;2023/03;-22,2020622;-49,96792737;12:31:00;MARILIA;Marilia;RUA ALEXANDRE GUIZARDI;525;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
6100;PM-10244-6-2019-11-11;2019-11-11 00:00:00;11;11;2019;2019/11;-22,20819399;-49,95446984;14:48:00;MARILIA;Marilia;AVENIDA CASTRO ALVES;100;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;SINISTRO NAO FATAL
6190;PM-3279-6-2023-5-23;2023-05-23 00:00:00;23;5;2023;2023/05;-22,22899257;-49,9643969;07:55:00;MARILIA;Marilia;RODOVIA SP 294;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
6202;PM-11255-6-2022-8-11;2022-08-11 00:00:00;11;8;2022;2022/08;-22,22021712;-49,94117338;16:46:00;MARILIA;Marilia;AVENIDA PEDRO DE TOLEDO;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
6385;PM-10062-6-2023-5-27;2023-05-27 00:00:00;27;5;2023;2023/05;-22,21137662;-49,93754051;09:47:00;MARILIA;Marilia;AVENIDA BRIGADEIRO EDUARDO GOMES;228;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;SINISTRO NAO FATAL
6683;PM-20451-6-2022-1-29;2022-01-29 00:00:00;29;1;2022;2022/01;-22,17236204;-49,95372276;21:33:00;MARILIA;Marilia;RUA SOLDADO FILHO;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
7051;PM-22736-6-2020-1-12;2020-01-12 00:00:00;12;1;2020;2020/01;-22,1680032;-49,9653715;23:37:00;MARILIA;Marilia;AVENIDA EUGENIO CONEGLIAN;2586;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
7119;PM-11129-6-2021-2-24;2021-02-24 00:00:00;24;2;2021;2021/02;-22,22141221;-49,9510839;17:09:00;MARILIA;Marilia;AVENIDA RIO BRANCO;294;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
7218;PM-466863-99-2022-8-9;2022-08-09 00:00:00;9;8;2022;2022/08;-22,28037775;-49,91896964;06:20:00;MARILIA;Marilia;BR 153;260,9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO NAO FATAL
7281;PM-3763-6-2020-2-5;2020-02-05 00:00:00;5;2;2020;2020/02;-22,21964524;-49,94509659;08:08:00;MARILIA;Marilia;AVENIDA FEIJO;100;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
7489;PM-22975-6-2024-5-18;2024-05-18 00:00:00;18;5;2024;2024/05;-22,17244597;-49,95292624;21:59:00;MARILIA;Marilia;PONTILHAO DO ATACADAO;10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
7599;PM-3837-6-2019-8-16;2019-08-16 00:00:00;16;8;2019;2019/08;-22,22866924;-49,95834871;07:59:00;MARILIA;Marilia;RODOVIA SP 294;450;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
7659;PM-6646-6-2022-6-9;2022-06-09 00:00:00;9;6;2022;2022/06;-22,18238806;-49,95945464;11:32:00;MARILIA;Marilia;RUA CORIFEU DE AZEVEDO MARQUES;544;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
7747;PM-13723-6-2023-3-16;2023-03-16 00:00:00;16;3;2023;2023/03;-22,23256574;-49,9709458;17:45:00;MARILIA;Marilia;RODOVIA SP 294;452;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
7828;PM-25039-6-2023-7-15;2023-07-15 00:00:00;15;7;2023;2023/07;-22,1577523;-50,0120638;23:29:00;MARILIA;Marilia;AVENIDA PASTOR DARCI DA SILVA LIMA;871;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;SINISTRO NAO FATAL
7965;PM-6504-6-2021-7-29;2021-07-29 00:00:00;29;7;2021;2021/07;-22,23178331;-49,96939149;12:54:00;MARILIA;Marilia;RUA FERRUCIO PEZORGNIA PERSON;69;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;SINISTRO NAO FATAL
8118;PM-16877-6-2022-8-21;2022-08-21 00:00:00;21;8;2022;2022/08;-22,16411927;-50,01884683;17:02:00;MARILIA;Marilia;RUA MIGUEL DE SOUZA E SILVA;155;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;SINISTRO NAO FATAL
8125;PM-10954-6-2020-5-16;2020-05-16 00:00:00;16;5;2020;2020/05;-22,16302323;-49,96699861;12:20:00;MARILIA;Marilia;AVENIDA JOAO MARTINS COELHO;1360;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NOTIFICACAO
