;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
41461;80504;918;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-26 00:00:00;26;1;2015;2015/01;SEGUNDA;18;NOITE;MARILIA;MARÍLIA;AVENIDA DOUTOR DURVAL DE MENEZES;421;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,253818;-49,93215;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
41738;80504;8248;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-08-17 00:00:00;17;8;2016;2016/08;QUARTA;17;TARDE;MARILIA;MARÍLIA;SP 294;445,25;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23007848;-49,91473329;RODOVIAS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
41889;80504;4324;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-04-30 00:00:00;30;4;2019;2019/04;TERÇA;0;NAO DISPONIVEL;MARILIA;MARÍLIA;SP 294;442,5;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22348826;-49,88505221;RODOVIAS;1;0;0;0;0;0;0;1;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
41909;80504;4325;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-05-22 00:00:00;22;5;2022;2022/05;DOMINGO;20;NOITE;MARILIA;MARÍLIA;SP 294;450,2;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22886157;-49,96283384;RODOVIAS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
42312;80504;1002680178;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-09-20 00:00:00;20;9;2022;2022/09;TERÇA;19;NOITE;MARILIA;MARÍLIA;SP 294;454;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,21241291;-49,96377318;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
42462;80504;1003576050;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-12-03 00:00:00;3;12;2022;2022/12;SÁBADO;23;NOITE;MARILIA;MARÍLIA;RUA CORONEL MOREIRA CÉSAR;225;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,24544295;-49,93263745;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
42613;80504;10180;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-10-11 00:00:00;11;10;2016;2016/10;TERÇA;21;NOITE;MARILIA;MARÍLIA;SP 333;314,2;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,08659669;-49,90028684;RODOVIAS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
42666;80504;1849;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-03-05 00:00:00;5;3;2022;2022/03;SÁBADO;19;NOITE;MARILIA;MARÍLIA;SP 294;463,6;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15720441;-50,01522617;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
42683;80504;4349;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-04-30 00:00:00;30;4;2015;2015/04;QUINTA;9;MANHA;MARILIA;MARÍLIA;AVENIDA SAMPAIO VIDAL;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,21985223;-49,94812879;VIAS MUNICIPAIS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
42878;80504;976;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-01-28 00:00:00;28;1;2017;2017/01;SÁBADO;14;TARDE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;1;0;1;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
43065;80504;1003986056;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-01-06 00:00:00;6;1;2023;2023/01;SEXTA;12;TARDE;MARILIA;MARÍLIA;SP 294;457;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,18732529;-49,96932424;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
43439;80504;6767;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-09-17 00:00:00;17;9;2020;2020/09;QUINTA;1;MADRUGADA;MARILIA;MARÍLIA;RUA NOVE DE JULHO;2502;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,221933;-49,960605;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;1;0;1;SINISTRO FATAL
43446;80504;2805;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-03-09 00:00:00;9;3;2020;2020/03;SEGUNDA;10;MANHA;MARILIA;MARÍLIA;BR 153;222;FEDERAL;CONCESSIONÁRIA-ANTT;TRANSBRASILIANA;PUBLICO;-22,01319682;-49,90957727;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
43619;80504;10132;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-09-14 00:00:00;14;9;2017;2017/09;QUINTA;19;NOITE;MARILIA;MARÍLIA;AVENIDA RIO BRANCO;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,221927;-49,952866;VIAS MUNICIPAIS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
43719;80504;13989;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-12-23 00:00:00;23;12;2017;2017/12;SÁBADO;15;TARDE;MARILIA;MARÍLIA;AVENIDA SAMPAIO VIDAL;1981;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,239213;-49,93751;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
44017;80504;1855;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-02-17 00:00:00;17;2;2020;2020/02;SEGUNDA;18;NOITE;MARILIA;MARÍLIA;RUA FLAUZINA MARTINS SIRIANE;26;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,173948;-49,957195;VIAS MUNICIPAIS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
44218;80504;1007685089;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-10-28 00:00:00;28;10;2023;2023/10;SÁBADO;22;NOITE;MARILIA;MARÍLIA;SP 294;457;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,18732529;-49,96932424;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
44244;90104;381;2015;DEL.POL.FLÓRIDA PAULISTA;2015-10-06 00:00:00;6;10;2015;2015/10;TERÇA;20;NOITE;MARILIA;MARÍLIA;SP 294;611,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-21,56878123;-51,20651666;RODOVIAS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
